customer_id,first_name,last_name,phone,email,street,city,state,zip_code,failed_check,created_at
1,Debra,Burks,,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127,Missing phone number,2024-08-16 11:40:04.043539
2,Kasha,Todd,,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008,Missing phone number,2024-08-16 11:40:04.043539
3,Tameka,Fisher,,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278,Missing phone number,2024-08-16 11:40:04.043539
4,Daryl,Spence,,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553,Missing phone number,2024-08-16 11:40:04.043539
6,Lyndsey,Bean,,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450,Missing phone number,2024-08-16 11:40:04.043539
8,Jacquline,Duncan,,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372,Missing phone number,2024-08-16 11:40:04.043539
9,Genoveva,Baldwin,,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050,Missing phone number,2024-08-16 11:40:04.043539
10,Pamelia,Newman,,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950,Missing phone number,2024-08-16 11:40:04.043539
11,Deshawn,Mendoza,,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952,Missing phone number,2024-08-16 11:40:04.043539
13,Lashawn,Ortiz,,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604,Missing phone number,2024-08-16 11:40:04.043539
14,Garry,Espinoza,,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126,Missing phone number,2024-08-16 11:40:04.043539
15,Linnie,Branch,,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901,Missing phone number,2024-08-16 11:40:04.043539
17,Caren,Stephens,,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583,Missing phone number,2024-08-16 11:40:04.043539
18,Georgetta,Hardin,,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424,Missing phone number,2024-08-16 11:40:04.043539
19,Lizzette,Stein,,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127,Missing phone number,2024-08-16 11:40:04.043539
20,Aleta,Shepard,,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478,Missing phone number,2024-08-16 11:40:04.043539
21,Tobie,Little,,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904,Missing phone number,2024-08-16 11:40:04.043539
22,Adelle,Larsen,,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,11731,Missing phone number,2024-08-16 11:40:04.043539
23,Kaylee,English,,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,11423,Missing phone number,2024-08-16 11:40:04.043539
24,Corene,Wall,,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301,Missing phone number,2024-08-16 11:40:04.043539
25,Regenia,Vaughan,,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,10541,Missing phone number,2024-08-16 11:40:04.043539
27,Santos,Valencia,,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,11104,Missing phone number,2024-08-16 11:40:04.043539
28,Jeanice,Frost,,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,10562,Missing phone number,2024-08-16 11:40:04.043539
29,Syreeta,Hendricks,,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,10541,Missing phone number,2024-08-16 11:40:04.043539
30,Jamaal,Albert,,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505,Missing phone number,2024-08-16 11:40:04.043539
32,Araceli,Golden,,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831,Missing phone number,2024-08-16 11:40:04.043539
33,Deloris,Burke,,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274,Missing phone number,2024-08-16 11:40:04.043539
34,Brittney,Woodward,,brittney.woodward@aol.com,960 River St. ,East Northport,NY,11731,Missing phone number,2024-08-16 11:40:04.043539
35,Guillermina,Noble,,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,13027,Missing phone number,2024-08-16 11:40:04.043539
36,Bernita,Mcdaniel,,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,13090,Missing phone number,2024-08-16 11:40:04.043539
37,Melia,Brady,,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,NY,11378,Missing phone number,2024-08-16 11:40:04.043539
38,Zelma,Browning,,zelma.browning@aol.com,296 Second Street ,Astoria,NY,11102,Missing phone number,2024-08-16 11:40:04.043539
40,Ronna,Butler,,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,91316,Missing phone number,2024-08-16 11:40:04.043539
41,Kathie,Freeman,,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,NY,12804,Missing phone number,2024-08-16 11:40:04.043539
42,Tangela,Quinn,,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,NY,11418,Missing phone number,2024-08-16 11:40:04.043539
44,Onita,Johns,,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,NY,11003,Missing phone number,2024-08-16 11:40:04.043539
45,Bennett,Armstrong,,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,NY,11714,Missing phone number,2024-08-16 11:40:04.043539
46,Monika,Berg,,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,91316,Missing phone number,2024-08-16 11:40:04.043539
47,Bridgette,Guerra,,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,CA,94580,Missing phone number,2024-08-16 11:40:04.043539
48,Cesar,Jackson,,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,NY,13090,Missing phone number,2024-08-16 11:40:04.043539
49,Caroll,Hays,,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,NY,14450,Missing phone number,2024-08-16 11:40:04.043539
50,Cleotilde,Booth,,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,TX,77478,Missing phone number,2024-08-16 11:40:04.043539
51,Gertrud,Rhodes,,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,Merrick,NY,11566,Missing phone number,2024-08-16 11:40:04.043539
52,Tu,Ramirez,,tu.ramirez@hotmail.com,24 W. Courtland Street ,East Elmhurst,NY,11369,Missing phone number,2024-08-16 11:40:04.043539
53,Saturnina,Garner,,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,CA,91740,Missing phone number,2024-08-16 11:40:04.043539
54,Fran,Yang,,fran.yang@hotmail.com,440 Pearl St. ,Utica,NY,13501,Missing phone number,2024-08-16 11:40:04.043539
55,Diana,Guerra,,diana.guerra@hotmail.com,45 Chapel Ave. ,Merrick,NY,11566,Missing phone number,2024-08-16 11:40:04.043539
57,Pamala,Henry,,pamala.henry@aol.com,197 Bridgeton Ave. ,Bronx,NY,10451,Missing phone number,2024-08-16 11:40:04.043539
58,Damien,Dorsey,,damien.dorsey@yahoo.com,161 Old York Street ,Central Islip,NY,11722,Missing phone number,2024-08-16 11:40:04.043539
59,Latasha,Stanley,,latasha.stanley@gmail.com,8068 Fordham Drive ,Rockville Centre,NY,11570,Missing phone number,2024-08-16 11:40:04.043539
60,Neil,Mccall,,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070,Missing phone number,2024-08-16 11:40:04.043539
